 1972 1 1 3 0 125  0 0 0 0 0 0 0 0 0 3.22901 1.14279 1.4727 1.8636 2.31277 2.81042 3.33853 3.86881 4.36041 4.76068 10.0722 9.34914 7.05002 4.20888 2.88554 0 0 0 0 0 0 0 0 0 2.39117 0.909022 1.19925 1.55966 1.99401 2.50171 3.07249 3.68139 4.28456 4.81802 5.20407 10.624 9.10366 6.11108 4.82036 0 0
 1973 1 1 3 0 125  0 0 0 0 0 0 0 0 0 0 0 0 7.63268 2.32014 2.81823 3.34655 3.87679 4.36812 4.76794 10.0848 9.35856 7.05609 7.09969 0 0 0 0 0 0 0 0 0 0 0 0 0 5.96382 2.00077 2.50951 3.08089 3.6901 4.29331 4.82655 5.21215 10.638 9.11369 6.11704 3.14902 1.67559 0
 1974 1 1 3 0 125  0 0 0 0 0 0 0 0 0 3.01341 1.12259 1.46852 1.87289 2.33084 2.833 3.36291 3.89345 4.38437 4.78333 10.1117 9.3788 7.06924 7.11123 0 0 0 0 0 0 0 0 0 1.57547 0.63198 0.86642 1.17092 1.54888 1.99932 2.51844 3.09563 3.70737 4.31129 4.84426 5.22896 10.667 9.13468 6.12956 3.15497 1.67856 0
 1975 1 1 3 0 125  0 0 0 0 0 0 0 1.53887 0.599738 0.807245 1.08171 1.4276 1.84289 2.31813 2.83723 3.37908 3.91571 4.40843 4.80674 10.1524 9.40888 7.08839 7.12768 0 0 0 0 0 0 0 0 0 0 0 3.01008 1.13087 1.50553 1.96466 2.50078 3.09636 3.72218 4.334 4.86981 5.25422 10.7108 9.1658 6.14783 4.84635 0 0
 1976 1 1 3 0 125  0 0 0 0 0 0 0 1.63244 0.593575 0.803886 1.06844 1.39796 1.80136 2.27662 2.80751 3.36671 3.91891 4.4211 4.82249 10.178 9.42082 7.09113 4.22871 2.89664 0 0 0 0 0 0 0 1.23723 0.434405 0.608111 0.832866 1.11906 1.47931 1.9253 2.45892 3.06444 3.70723 4.33537 4.88181 5.27027 10.7385 9.1803 6.15298 4.84754 0 0
 1977 1 1 3 0 125  0 0 0 0 0 0 0 1.91288 0.571134 0.773751 1.04276 1.37817 1.77937 2.2456 2.76957 3.33081 3.89335 4.40831 4.8192 10.179 9.41326 7.07705 4.21679 2.88655 0 0 0 0 0 0 1.19686 0.351486 0.446683 0.593504 0.802893 1.08772 1.45314 1.90011 2.42798 3.02776 3.67205 4.30962 4.86838 5.26648 10.7402 9.17644 6.14456 4.83654 0 0
 1978 1 1 3 0 125  0 0 0 0 0 0 1.66581 0.60694 0.697935 0.83387 1.04843 1.3513 1.73968 2.20336 2.72554 3.28309 3.84328 4.36017 4.77631 10.1074 9.34911 7.02147 4.17921 2.85808 0 0 0 0 0 0 0 0 2.29931 0.764152 0.902237 1.11838 1.43698 1.86099 2.38152 2.97921 3.62149 4.25812 4.81928 5.22268 10.6686 9.11836 6.10101 4.79676 0 0
 1979 1 1 3 0 125  0 0 0 0 0 0 0 0 0 0 5.47576 1.52581 1.81207 2.19859 2.67706 3.21435 3.7653 4.2772 4.6911 9.9411 9.20187 6.90688 4.10665 2.80503 0 0 0 0 0 0 0 0 0 3.04872 1.17539 1.41071 1.65802 1.97338 2.39959 2.93803 3.55095 4.17499 4.73109 5.13355 10.5007 8.9814 6.00716 3.08234 1.63518 0
 1980 1 1 3 0 125  0 0 0 0 0 0 0 2.05513 0.826039 1.14403 1.49717 1.83749 2.14659 2.4529 2.80523 3.22924 3.70522 4.17672 4.57163 9.68693 8.9681 6.72809 3.99638 2.72583 0 0 0 0 0 0 0 0 0 2.91426 1.16315 1.54627 1.93679 2.30766 2.67826 3.09524 3.585 4.12121 4.62834 5.00894 10.243 8.76321 5.85952 4.5964 0 0
 1981 1 1 3 0 125  0 0 0 0 0 0 1.6274 0.60266 0.79526 1.07012 1.43984 1.87935 2.33583 2.75749 3.12699 3.46784 3.81224 4.16095 4.47072 9.3735 8.64629 6.4787 6.46109 0 0 0 0 0 0 0 1.16613 0.470818 0.626346 0.828195 1.1075 1.4873 1.95345 2.45809 2.94827 3.39904 3.82136 4.23222 4.61473 4.90653 9.92861 8.46316 5.65325 4.42873 0 0
 1982 1 1 3 0 125  0 0 0 0 0 0 0 0 3.20872 1.14464 1.46898 1.87065 2.34328 2.84668 3.32069 3.72099 4.03988 4.29172 4.48021 9.12378 8.28072 12.3225 0 0 0 0 0 0 0 0 0 0 2.32873 0.918108 1.19563 1.54088 1.96799 2.4741 3.02569 3.56548 4.0422 4.43123 4.72401 4.90157 9.67064 8.12242 5.40337 4.22454 0 0
 1983 1 1 3 0 125  0 0 0 0 0 0 0 0 0 0 6.01835 1.98894 2.43338 2.91377 3.39948 3.84256 4.19751 4.4398 4.56499 9.02121 7.95292 5.86091 5.80031 0 0 0 0 0 0 0 0 0 0 0 4.47494 1.66023 2.09481 2.5821 3.11112 3.65179 4.15401 4.56337 4.83829 4.9533 9.53083 7.81055 5.13991 4.00061 0 0
 1984 1 1 3 0 125  0 0 0 0 0 0 1.38198 0.664794 0.938107 1.27805 1.6771 2.12095 2.59314 3.07403 3.54003 3.96233 4.3067 4.53974 4.63839 8.99718 7.7021 5.56288 5.44476 0 0 0 0 0 0 0 0 0 2.01774 0.947773 1.30681 1.73522 2.21888 2.73959 3.27608 3.80123 4.27965 4.66765 4.91941 4.99766 9.45326 7.55774 4.88953 3.76949 0 0
 1985 1 1 3 0 125  0 0 0 0 0 0 0 0 2.93853 1.21105 1.65512 2.16469 2.70514 3.23721 3.72425 4.13645 4.44965 4.64288 4.69873 8.97357 7.49474 5.29101 3.04683 2.03918 0 0 0 0 0 0 0 0 2.10799 0.859469 1.22685 1.69439 2.24252 2.83488 3.42811 3.97943 4.45024 4.80525 5.01094 5.03839 9.38227 7.33755 4.65663 3.53607 0 0
 1986 1 1 3 0 125  0 0 0 1.02849 0.313841 0.344387 0.427368 0.574052 0.794829 1.11262 1.5414 2.07218 2.67045 3.27981 3.83636 4.28714 4.5996 4.75945 4.76339 8.93464 7.28238 5.02434 4.71858 0 0 0 0 0 0 0 1.77182 0.454235 0.591985 0.812901 1.13565 1.57875 2.13862 2.78202 3.4501 4.07208 4.58366 4.93868 5.1094 5.08211 9.30055 7.1118 4.42443 3.29589 0 0
 1987 1 1 3 0 125  0 0 0 0 1.70333 0.615849 0.739325 0.851322 0.974357 1.1747 1.50021 1.95873 2.52729 3.15428 3.76413 4.27675 4.6309 4.79667 4.77285 8.80772 6.99724 4.71201 4.30714 0 0 0 0 0 0 0 0 0 4.05789 1.06401 1.25913 1.5775 2.04514 2.64309 3.31648 3.98277 4.55042 4.94359 5.11802 5.06218 9.1243 6.81593 4.15086 3.02389 0 0
 1988 1 1 3 0 125  0 0 0 0 0 2.45662 1.03737 1.29571 1.52063 1.72023 1.92256 2.17844 2.54071 3.01695 3.55215 4.05449 4.43345 4.6275 4.61477 8.44974 6.56841 4.31423 3.826 0 0 0 0 0 0 0 2.40874 1.05582 1.35373 1.62346 1.85712 2.08327 2.35342 2.72458 3.21619 3.78008 4.31749 4.7222 4.91679 4.86886 8.70853 6.37875 6.50101 0 0 0
 1989 1 1 3 0 125  0 0 0 0 0 2.18312 1.0595 1.4597 1.89752 2.3239 2.67933 2.93729 3.13126 3.32731 3.57226 3.85708 4.11846 4.27488 4.26722 7.8066 5.992 3.85107 3.30847 0 0 0 0 0 0 0 0 3.16591 1.46976 1.94427 2.41887 2.83228 3.14587 3.37973 3.59858 3.85587 4.14729 4.40708 4.54493 4.49256 8.01363 5.79907 3.39016 2.34716 0 0
 1990 1 1 3 0 125  0 0 0 0 0 0 0 4.33471 1.87193 2.46997 3.0814 3.60093 3.94731 4.10504 4.12717 4.09337 4.05256 3.99725 3.88278 6.99938 5.31751 3.36421 2.80499 0 0 0 0 0 0 0 2.00113 0.927684 1.35469 1.88745 2.51244 3.16852 3.74959 4.16085 4.37254 4.42874 4.40614 4.35424 4.2657 4.09505 7.17637 5.13192 2.95766 1.99881 0 0
 1991 1 1 3 0 125  0 0 0 0 0 0 0 4.00296 1.62867 2.27742 3.01123 3.74386 4.36002 4.74906 4.85927 4.72673 4.44619 4.10947 3.76215 6.41764 4.71872 5.32768 0 0 0 0 0 0 0 1.58302 0.596248 0.763718 1.10077 1.61527 2.28423 3.05566 3.83783 4.509 4.95236 5.10759 5.00125 4.72174 4.35868 3.95884 6.57684 4.54774 4.28814 0 0 0
 1992 1 1 3 0 125  0 0 0 0 1.16683 0.718094 0.970173 1.20083 1.48817 1.94849 2.61989 3.43049 4.24006 4.89108 5.25677 5.28475 5.01392 4.54775 3.99943 6.36693 4.3774 4.73992 0 0 0 0 0 0 0 0 0 0 4.02985 1.57686 2.01829 2.67149 3.49329 4.34086 5.03894 5.44465 5.49616 5.22814 4.74249 4.15253 6.47887 4.20829 3.81832 0 0 0
 1993 1 1 3 0 125  0 0 0 0 0 0 2.02806 1.1363 1.61374 2.1058 2.6158 3.20473 3.90231 4.62666 5.20926 5.49376 5.41635 5.02097 4.4204 6.80529 4.36747 4.41972 0 0 0 0 0 0 0 0 0 0 3.05158 1.61022 2.16512 2.73547 3.35617 4.05969 4.78527 5.37478 5.6644 5.57896 5.15781 4.51545 6.82909 4.16827 2.188 1.37308 0 0
 1994 1 1 3 0 125  0 0 0 0 0 0 0 0 0 5.79982 2.52679 3.2557 3.94279 4.56303 5.08834 5.44246 5.52671 5.29069 4.77229 7.40099 4.58592 2.48568 1.80237 0 0 0 0 0 0 0 0 0 2.7285 1.23727 1.81852 2.54915 3.34129 4.1007 4.77099 5.30936 5.64429 5.68852 5.40021 4.82289 7.32549 4.32661 2.15994 1.29267 0 0
 1995 1 1 3 0 125  0 0 0 0.992674 0.354087 0.366292 0.465614 0.677602 1.00837 1.47784 2.10657 2.88093 3.72496 4.5151 5.13555 5.51638 5.62535 5.45066 5.00835 7.95286 9.29091 0 0 0 0 0 0 0 0 1.36218 0.425999 0.491881 0.67988 1.00685 1.48528 2.13155 2.93441 3.82274 4.66927 5.33868 5.73632 5.81807 5.57922 5.05423 7.81147 4.60876 3.49313 0 0 0
 1996 1 1 3 0 125  0 0 0 0.999838 0.43442 0.632334 0.806722 0.925013 1.05399 1.3132 1.77511 2.43703 3.2441 4.09934 4.86994 5.42052 5.6598 5.56452 5.1704 8.34734 5.26931 4.50606 0 0 0 0 0 0 0 0 0 2.87838 1.01022 1.15915 1.39963 1.83953 2.50466 3.34073 4.2374 5.04675 5.61777 5.84492 5.69901 5.22361 8.18516 4.87961 2.33428 1.2702 0 0
 1997 1 1 3 0 125  0 0 0 1.95885 0.461593 0.53442 0.734035 1.0484 1.39675 1.71027 1.99857 2.35553 2.87634 3.56241 4.3064 4.94843 5.34398 5.41023 5.14257 8.49245 10.1182 0 0 0 0 0 0 0 0 0 3.15346 0.744509 1.04253 1.42179 1.79643 2.14247 2.52862 3.05432 3.74321 4.49767 5.14598 5.52489 5.54131 5.19428 8.32007 5.04476 3.70425 0 0 0
 1998 1 1 3 0 125  0 0 0 0 3.05897 0.94231 1.03604 1.18371 1.40632 1.75028 2.19083 2.643 3.06114 3.47762 3.93714 4.4134 4.79916 4.96916 4.85004 8.28408 5.50294 2.91464 1.82255 0 0 0 0 0 0 3.02556 1.08417 1.15497 1.29456 1.50953 1.835 2.277 2.77022 3.24939 3.71459 4.19398 4.66104 5.01112 5.11871 4.91315 8.11875 5.06671 2.46108 1.29716 0 0
 1999 1 1 3 0 125  0 0 0 0 1.80894 1.32835 1.76553 2.02782 2.14994 2.26552 2.46876 2.77889 3.16199 3.55336 3.89746 4.17381 4.37137 4.45265 4.36091 7.6326 5.25803 4.65119 0 0 0 0 0 0 0 0 0 4.66236 2.19447 2.39933 2.5216 2.69629 2.98146 3.35882 3.76724 4.14003 4.43261 4.61294 4.63709 4.45602 7.5129 4.84152 3.67824 0 0 0
 2000 1 1 3 0 125  0 0 0 0 0 1.77865 1.18467 1.9091 2.67887 3.28455 3.61003 3.71625 3.75755 3.83949 3.96727 4.08774 4.14495 4.10245 3.93836 6.85451 9.22946 0 0 0 0 0 0 0 0 0 1.7049 1.08755 1.81377 2.65902 3.4045 3.87343 4.06091 4.1084 4.15792 4.25225 4.34844 4.37863 4.28952 4.0514 6.79377 4.44992 2.26211 1.21965 0 0
 2001 1 1 3 0 125  0 0 0 0 1.25071 0.415451 0.632468 1.06919 1.77952 2.73085 3.74169 4.54301 4.94734 4.96646 4.7629 4.50196 4.25514 4.0096 3.72443 6.31296 4.40939 4.14548 0 0 0 0 0 0 0 0 1.71082 0.627379 1.02278 1.70249 2.65613 3.73101 4.6562 5.19756 5.30882 5.12715 4.83305 4.52619 4.20949 3.84418 6.28667 4.09245 3.26909 0 0 0
 1977 1 2 3 0 125  0 0 0 0 1.89511 1.33271 1.6706 1.91891 2.09581 2.25981 2.42481 2.58494 2.74457 2.91371 3.09653 3.28661 3.46774 3.6168 3.70646 7.30632 6.37323 9.18421 0 0 0 0 0 0 0 0 0 5.31134 2.00733 2.1779 2.34492 2.52937 2.72556 2.9308 3.15035 3.38521 3.62333 3.8385 3.99426 4.05047 7.71141 6.21457 4.02634 3.09945 0 0
 1980 1 2 3 0 125  0 0 0 0 1.5294 1.34445 1.93054 2.44545 2.85349 3.14536 3.27738 3.24439 3.11685 2.99607 2.95251 2.99956 3.10667 3.22587 3.3099 6.54535 5.71584 4.14941 2.42028 1.63121 0 0 0 0 0 1.58284 1.40812 1.9608 2.46321 2.87888 3.19792 3.38486 3.41971 3.35073 3.27134 3.25774 3.33002 3.45546 3.57468 3.62652 6.92311 5.58676 3.61445 2.77288 0 0
 1983 1 2 3 0 125  0 0 0 0 1.42423 1.55835 2.31094 2.82747 3.10648 3.25166 3.32069 3.34959 3.37006 3.3946 3.41268 3.40438 3.35686 3.27066 3.15242 5.81601 4.83504 6.78211 0 0 0 0 0 0 0 1.3908 1.54214 2.30358 2.86731 3.18939 3.36521 3.46643 3.52788 3.57602 3.62452 3.66597 3.68032 3.64945 3.56422 3.42057 6.14607 10.0759 0 0 0 0
 1986 1 2 3 0 125  0 0 0 0 2.24822 1.53366 1.95527 2.31524 2.61765 2.91637 3.21686 3.48818 3.69671 3.8193 3.84951 3.79654 3.67675 3.50454 3.28793 5.7597 4.42628 2.95445 2.71163 0 0 0 0 0 1.18336 1.2502 1.7269 2.07819 2.38757 2.67717 2.97674 3.2948 3.60001 3.85114 4.01761 4.08603 4.05913 3.9478 3.76222 3.50792 5.99687 4.3236 4.49795 0 0 0
 1989 1 2 3 0 125  0 0 0 0 0 5.04965 3.8661 4.69544 4.98414 4.85822 4.45972 3.9435 3.45711 3.09024 2.85886 2.72422 2.62569 2.51051 2.34918 4.01465 2.90526 3.32303 0 0 0 0 0 0 0.967454 1.42557 2.5881 3.83179 4.72778 5.10694 5.05675 4.7143 4.22353 3.73144 3.34219 3.08583 2.9292 2.80969 2.6691 2.47323 9.60159 0 0 0 0 0
 1992 1 2 3 0 125  0 0 0 0 0 4.60808 3.55268 3.87639 3.92273 4.08782 4.3762 4.62193 4.69785 4.55866 4.22183 3.74577 3.20788 2.6802 2.20954 3.28823 4.33945 0 0 0 0 0 0 0 0 0 4.34373 3.61375 4.10177 4.15652 4.23424 4.46239 4.70655 4.80953 4.69647 4.37273 3.89561 3.34494 2.79497 2.29412 3.34667 2.04846 1.7823 0 0 0
 1995 1 2 3 0 125  0 0 0 0 2.32244 1.47575 1.92722 2.47242 3.0044 3.50449 3.97736 4.38738 4.66501 4.75668 4.66202 4.41952 4.06813 3.63099 3.12753 4.64376 2.71919 2.29396 0 0 0 0 0 0 0 2.52089 1.71631 2.03595 2.48073 2.99989 3.52213 4.02451 4.46883 4.78747 4.9191 4.84642 4.59574 4.2075 3.71663 3.15619 4.56212 2.53666 1.84467 0 0 0
 1998 1 2 3 0 125  0 0 0 2.45988 2.53403 3.34885 3.78267 3.80981 3.69604 3.66112 3.64869 3.55041 3.38162 3.23168 3.15266 3.11892 3.0614 2.9199 2.67154 4.265 2.67091 2.20513 0 0 0 0 0 0 0 5.27765 3.85302 4.21688 4.16658 3.96727 3.83834 3.7922 3.72131 3.58957 3.45189 3.35832 3.29392 3.19661 3.00778 2.70631 4.18091 2.45968 1.75152 0 0 0
 2001 1 2 3 0 125  0 0 0 0 0 3.2729 2.2657 3.37645 4.58882 5.60466 6.11424 5.98785 5.36239 4.52834 3.74208 3.12161 2.66326 2.3117 2.0129 3.18861 3.99219 0 0 0 0 0 0 0 0 1.94026 1.56266 2.24747 3.22988 4.39017 5.45133 6.09678 6.13705 5.6336 4.84049 4.02826 3.35118 2.83291 2.42695 2.07762 3.17621 3.44345 0 0 0 0

17 #_N_age_bins
 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 20 25
2 #_N_ageerror_definitions
 0.5 1.5 2.5 3.5 4.5 5.5 6.5 7.5 8.5 9.5 10.5 11.5 12.5 13.5 14.5 15.5 16.5 17.5 18.5 19.5 20.5 21.5 22.5 23.5 24.5 25.5 26.5 27.5 28.5 29.5 30.5 31.5 32.5 33.5 34.5 35.5 36.5 37.5 38.5 39.5 40.5
 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001 0.001
 0.5 1.5 2.5 3.5 4.5 5.5 6.5 7.5 8.5 9.5 10.5 11.5 12.5 13.5 14.5 15.5 16.5 17.5 18.5 19.5 20.5 21.5 22.5 23.5 24.5 25.5 26.5 27.5 28.5 29.5 30.5 31.5 32.5 33.5 34.5 35.5 36.5 37.5 38.5 39.5 40.5
 0.5 0.65 0.67 0.7 0.73 0.76 0.8 0.84 0.88 0.92 0.97 1.03 1.09 1.16 1.23 1.32 1.41 1.51 1.62 1.75 1.89 2.05 2.23 2.45 2.71 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3 3
40 #_N_Agecomp_obs
1 #_Lbin_method: 1=poplenbins; 2=datalenbins; 3=lengths
1 #_combine males into females at or below this bin number
#Yr Seas Flt/Svy Gender Part Ageerr Lbin_lo Lbin_hi Nsamp datavector(female-male)
 1971 1 1 3 0 2 1 -1 75  0 0 0 0 5.34429 1.97708 2.11187 2.15282 2.1245 2.04055 1.92507 1.80035 1.67231 1.54426 5.99141 3.58709 5.79015 0 0 1.60659 1.41999 1.77064 1.99593 2.10745 2.13193 2.0935 2.00446 1.88726 1.76278 1.63612 1.51007 5.85503 3.50381 5.6527
 1972 1 1 3 0 2 1 -1 75  0.746857 0.535653 0.928407 1.35338 1.72676 1.97933 2.11409 2.15493 2.12646 2.04234 1.92669 1.80182 1.67364 1.54546 5.99591 3.58969 5.79426 0 0 1.60135 1.42189 1.77283 1.99819 2.10967 2.13403 2.09546 2.00624 1.88888 1.76425 1.63745 1.51128 5.85954 3.50643 5.65684
 1973 1 1 3 0 2 1 -1 75  0 0 2.1423 1.35891 1.73374 1.98607 2.1201 2.16003 2.13069 2.0458 1.92951 1.80414 1.67557 1.54707 6.00101 3.59215 5.79773 0 0 0 2.97929 1.77988 2.00494 2.11567 2.13916 2.09975 2.00981 1.89183 1.76671 1.63952 1.51303 5.86527 3.5093 5.661
 1974 1 1 3 0 2 1 -1 75  0 0 2.04351 1.34433 1.74588 1.99996 2.13266 2.1708 2.13966 2.05315 1.93551 1.80908 1.67967 1.55051 6.01203 3.59757 5.80544 0 0 1.46191 1.41091 1.792 2.01875 2.12811 2.14985 2.10872 2.01724 1.89797 1.77183 1.64382 1.51668 5.87725 3.51536 5.66983
 1975 1 1 3 0 2 1 -1 75  0 0 1.98799 1.26487 1.72549 2.01822 2.15254 2.1879 2.15382 2.06464 1.94479 1.81661 1.68585 1.55563 6.02799 3.60517 5.81605 0 0 0 0 4.52931 2.03672 2.14775 2.16676 2.12282 2.0288 1.90742 1.77961 1.6503 1.52211 5.89469 3.52397 5.68218
 1976 1 1 3 0 2 1 -1 75  0 0 2.16058 1.22833 1.63013 1.99142 2.17289 2.20885 2.16985 2.07625 1.95289 1.82211 1.68946 1.55789 6.02969 3.60267 5.80908 0 0 0 0 4.37259 2.00814 2.16754 2.18741 2.1388 2.04062 1.91593 1.78566 1.65453 1.52503 5.89944 9.20223 0
 1977 1 1 3 0 2 1 -1 75  0 0 0 0 5.2487 1.88952 2.13996 2.22789 2.18942 2.08942 1.96081 1.8262 1.69085 1.55746 6.01676 3.58941 5.78316 0 0 1.43225 1.30423 1.63767 1.9046 2.13338 2.20586 2.15821 2.05402 1.92442 1.79054 1.65686 1.5256 5.89119 3.5134 5.6582
 1978 1 1 3 0 2 1 -1 75  0 0 2.70165 1.18666 1.60614 1.85628 2.03152 2.18254 2.19722 2.09862 1.96338 1.82372 1.68499 1.54949 5.96922 3.55292 5.71783 0 0 1.88261 1.24435 1.64503 1.87127 2.02456 2.16005 2.16578 2.0635 1.92774 1.78916 1.65231 1.51904 5.85035 3.48144 5.60064
 1979 1 1 3 0 2 1 -1 75  0.871665 0.717472 1.37551 1.44911 1.5477 1.84924 1.99266 2.06747 2.13614 2.08931 1.95736 1.81197 1.66912 1.53123 5.87503 9.08567 0 0 0 2.2845 1.52929 1.58594 1.86197 1.98551 2.04561 2.10515 2.05463 1.92264 1.7788 1.63812 1.50263 5.76508 3.42001 5.49345
 1980 1 1 3 0 2 1 -1 75  0 1.56359 1.23682 2.05894 1.95099 1.808 1.96931 2.02195 2.0185 2.01534 1.9317 1.79146 1.64407 1.5031 5.7332 8.81183 0 0 0 0 4.13316 2.00773 1.8214 1.96034 2.00013 1.98911 1.9822 1.89839 1.76008 1.61526 1.47692 5.63503 3.32776 5.3337
 1981 1 1 3 0 2 1 -1 75  0 1.73196 1.05362 1.82189 2.67288 2.33408 1.95598 1.98471 1.96488 1.89756 1.84655 1.74935 1.60901 1.46504 5.54046 3.24857 5.19066 0 0 1.8961 1.89692 2.73384 2.35628 1.94773 1.96206 1.93622 1.86702 1.816 1.72058 1.58307 1.44199 5.45765 3.20172 5.11563
 1982 1 1 3 0 2 1 -1 75  0 1.75515 1.24932 1.6253 2.34735 3.06678 2.55501 1.99913 1.91418 1.83492 1.73106 1.65719 1.55422 1.41939 5.31234 3.08506 4.90756 0 0 0 0 6.2772 3.07964 2.54536 1.9765 1.88567 1.80577 1.70364 1.63184 1.53156 1.39974 5.24649 7.90262 0
 1983 1 1 3 0 2 1 -1 75  0 0 0 4.90924 2.16499 2.69298 3.22056 2.60945 1.95071 1.77471 1.66246 1.54771 1.46123 1.35833 5.06858 2.90801 4.59966 0 0 2.29695 2.01145 2.21023 2.69554 3.19569 2.57844 1.92136 1.74641 1.63682 1.52552 1.44206 1.34205 5.0193 2.88469 4.56486
 1984 1 1 3 0 2 1 -1 75  0 0 0 4.88322 2.54805 2.55045 2.84506 3.17594 2.53013 1.83013 1.59851 1.47633 1.36059 1.26872 4.80646 2.72388 4.27702 0 0 2.17635 2.17856 2.59853 2.55695 2.81735 3.12979 2.48952 1.80041 1.57421 1.45622 1.34449 1.25584 4.77319 2.71211 4.262
 1985 1 1 3 0 2 1 -1 75  0 0 0 4.86048 2.75196 2.97414 2.74688 2.82741 2.98412 2.3454 1.66365 1.41123 1.28627 1.17483 4.50248 2.53216 3.93868 0 0 0 4.05742 2.79831 2.97704 2.72083 2.7828 2.93164 2.30489 1.63789 1.39283 1.27251 1.16493 4.48474 2.53161 3.94288
 1986 1 1 3 0 2 1 -1 75  0 2.33208 1.07263 1.82519 2.69317 3.18862 3.16059 2.76125 2.66951 2.6752 2.0919 1.4757 1.21918 1.09636 4.15175 2.32743 3.57639 0 0 0 0 6.51334 3.18387 3.12526 2.71605 2.62082 2.62756 2.05802 1.45634 1.20742 1.08899 4.1487 5.93669 0
 1987 1 1 3 0 2 1 -1 75  0 3.32156 1.29308 1.66572 2.37932 3.07587 3.33226 3.09959 2.60097 2.38358 2.28538 1.79217 1.26651 1.02116 3.74389 5.25817 0 0 0 2.69293 1.73057 2.40761 3.06361 3.28839 3.04415 2.55116 2.34106 2.24945 1.76855 1.25479 1.01604 3.75437 2.11271 3.20536
 1988 1 1 3 0 2 1 -1 75  2.14741 1.61978 2.23129 2.07969 2.17512 2.66192 3.11642 3.16152 2.8039 2.27567 2.00223 1.85707 1.45962 1.0358 3.28492 4.51447 0 0 1.80021 2.41211 2.17668 2.20339 2.64609 3.06877 3.10012 2.74671 2.2329 1.9717 1.83502 1.44701 1.03149 3.3058 4.59517 0
 1989 1 1 3 0 2 1 -1 75  0 3.42337 2.93509 3.45146 2.76501 2.41347 2.62088 2.84776 2.74929 2.34474 1.86206 1.59223 1.43264 1.12954 2.90405 3.73097 0 0 0 4.91581 3.60456 2.81573 2.40042 2.57636 2.78764 2.69006 2.29826 1.83191 1.57449 1.42284 1.12607 2.93034 3.82296 0
 1990 1 1 3 0 2 1 -1 75  0 0 5.92964 4.26064 4.36937 3.09939 2.36181 2.3372 2.39643 2.21926 1.84155 1.4475 1.21052 1.06074 2.66419 2.98764 0 0 1.50861 2.96576 4.41665 4.43444 3.09102 2.32121 2.28421 2.34157 2.17328 1.81002 1.42998 1.20319 1.05962 2.69297 3.0816 0
 1991 1 1 3 0 2 1 -1 75  0 0 5.40481 3.94046 5.16799 4.71774 3.09182 2.13985 1.96319 1.91529 1.72225 1.40941 1.10075 0.902115 2.46767 2.38034 0 0 1.25166 2.48797 4.06994 5.21506 4.68908 3.0402 2.08913 1.91504 1.8732 1.69121 1.39087 1.09281 0.901625 2.49814 2.47038 0
 1992 1 1 3 0 2 1 -1 75  0 0 4.89488 3.24823 4.70067 5.42268 4.58397 2.86505 1.85861 1.60157 1.50636 1.33218 1.08083 0.841017 2.30027 0.813839 1.13322 0 0 3.64522 3.3522 4.73362 5.3694 4.49458 2.79332 1.80869 1.56251 1.47625 1.31229 1.0708 0.838687 2.32919 2.02989 0
 1993 1 1 3 0 2 1 -1 75  0 0 4.53589 2.81397 3.86908 4.94405 5.22421 4.19718 2.55429 1.58464 1.30196 1.19488 1.04364 4.72499 0 0 0 0 0 3.78338 2.92733 3.89686 4.89142 5.11128 4.08306 2.47939 1.5406 1.27192 1.17395 1.03134 0.838093 3.9826 0 0
 1994 1 1 3 0 2 1 -1 75  0 0 3.80594 3.40913 3.53994 4.11776 4.81033 4.76935 3.69605 2.21022 1.33129 1.05525 0.946911 0.818219 2.17376 0.665947 0.806727 0 0 0 6.29918 3.59208 4.07685 4.70548 4.63464 3.58192 2.1424 1.29548 1.03353 5.4816 0 0 0 0
 1995 1 1 3 0 2 1 -1 75  1.63515 0.726744 1.3027 2.55186 4.20034 3.97748 4.07957 4.45372 4.21098 3.16803 1.88251 1.11934 0.858373 4.24124 0 0 0 0 0 0 4.83229 4.24992 3.96095 3.99536 4.32938 4.07995 3.06763 1.82616 1.09172 0.843597 0.745421 2.15767 0.674681 0.737243
 1996 1 1 3 0 2 1 -1 75  0 0 4.42382 1.91598 3.11247 4.53035 4.0749 3.81597 3.93918 3.57579 2.63677 1.57615 0.932634 0.692209 2.06937 1.23857 0 0 1.33292 1.44079 1.98666 3.13409 4.49827 4.00704 3.71519 3.81985 3.4641 2.55662 1.53267 0.912664 0.683134 3.38185 0 0
 1997 1 1 3 0 2 1 -1 75  0 4.2185 2.11566 2.0215 2.36173 3.30519 4.37096 3.8229 3.36347 3.30303 2.91029 2.12955 1.28643 0.759808 3.09239 0 0 0 0 0 5.73571 2.3889 3.27477 4.28909 3.73106 3.26612 3.20262 2.82339 2.0697 1.25473 3.90247 0 0 0
